Organisational Family	Organisation	Category	Service Type	Price
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Other	Technical Services	1088760.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Other	Uncategorised	374502.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Temporary Staff	Admin & Clerical	129854.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Temporary Staff	Interim Managers	15187.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Temporary Staff	Specialist Contractors	83804.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Temporary Staff	Uncategorised	290.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	Finance Consultancy	144250.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	"Human Resource, Training & Education Consultancy"	182999.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	IT/IS Consultancy	286512.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	Legal Consultancy	159838.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	Marketing & Communications Consultancy	99717.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	Org & Change Management Consultancy	46033.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	PPM Consultancy	11877.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	Procurement Consultancy	3284.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	Property & Construction Consultancy	1046877.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	Strategy Consultancy	10671.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	Technical Consultancy	229624.00
"Department for Culture, Media and Sport"	Imperial War Museum	Professional Services Consultancy	Uncategorised	83926.00
"Department for Culture, Media and Sport"	Imperial War Museum	Personnel Related	Events Admissions	272309.00
"Department for Culture, Media and Sport"	Imperial War Museum	Personnel Related	Staff Childcare	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Personnel Related	Staff Health & Safety	13137.00
"Department for Culture, Media and Sport"	Imperial War Museum	Personnel Related	Staff Medical Care	6898.00
"Department for Culture, Media and Sport"	Imperial War Museum	Personnel Related	Staff Relocation	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Personnel Related	Staff Subscriptions	25681.00
"Department for Culture, Media and Sport"	Imperial War Museum	Personnel Related	Uncategorised	39471.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Adult Social Care	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Child Social Care	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Educational Programmes	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Emergency Services	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Entertainment Services	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Legal Aid	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Operation of Custodial Facilities	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Transport Provision	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Welfare to Work	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	World Programmes	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Social Care	Uncategorised	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Marketing & Media	Advertising	286026.00
"Department for Culture, Media and Sport"	Imperial War Museum	Marketing & Media	Marketing	718226.00
"Department for Culture, Media and Sport"	Imperial War Museum	Marketing & Media	Promotion	1061765.00
"Department for Culture, Media and Sport"	Imperial War Museum	Marketing & Media	Uncategorised	334311.00
"Department for Culture, Media and Sport"	Imperial War Museum	Facilities	Accommodation Services	107294.00
"Department for Culture, Media and Sport"	Imperial War Museum	Facilities	Building Management	3466205.00
"Department for Culture, Media and Sport"	Imperial War Museum	Facilities	Catering	302026.00
"Department for Culture, Media and Sport"	Imperial War Museum	Facilities	Cleaning	550242.00
"Department for Culture, Media and Sport"	Imperial War Museum	Facilities	Food	83992.00
"Department for Culture, Media and Sport"	Imperial War Museum	Facilities	Office Furniture	47026.00
"Department for Culture, Media and Sport"	Imperial War Museum	Facilities	Security	784262.00
"Department for Culture, Media and Sport"	Imperial War Museum	Facilities	Uncategorised	28351.00
"Department for Culture, Media and Sport"	Imperial War Museum	Clinical & Medical	Drugs & Biologicals	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Clinical & Medical	Medical & Surgical Consumables	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Clinical & Medical	Medical & Surgical Equipment	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Clinical & Medical	Pathology	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Clinical & Medical	Patients Appliances	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Clinical & Medical	Radiological & Diagnostic	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Clinical & Medical	Uncategorised	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Office Solutions	Office Consumables	78472.00
"Department for Culture, Media and Sport"	Imperial War Museum	Office Solutions	Office Machines	266472.00
"Department for Culture, Media and Sport"	Imperial War Museum	Office Solutions	Office Services	15630.00
"Department for Culture, Media and Sport"	Imperial War Museum	Office Solutions	Office Supplies	129076.00
"Department for Culture, Media and Sport"	Imperial War Museum	Office Solutions	Post & Courier	147132.00
"Department for Culture, Media and Sport"	Imperial War Museum	Office Solutions	Print	243340.00
"Department for Culture, Media and Sport"	Imperial War Museum	Office Solutions	Records Storage	9530.00
"Department for Culture, Media and Sport"	Imperial War Museum	Office Solutions	Reprographics	346536.00
"Department for Culture, Media and Sport"	Imperial War Museum	Office Solutions	Uncategorised	241579.00
"Department for Culture, Media and Sport"	Imperial War Museum	Construction	Building Repair & Maintenance	258552.00
"Department for Culture, Media and Sport"	Imperial War Museum	Construction	Construction Service Providers	75320.00
"Department for Culture, Media and Sport"	Imperial War Museum	Construction	Construction Supplies	270367.00
"Department for Culture, Media and Sport"	Imperial War Museum	Construction	Design & Build	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Construction	Main Contractors	2010298.00
"Department for Culture, Media and Sport"	Imperial War Museum	Construction	Prime Contractors	932820.00
"Department for Culture, Media and Sport"	Imperial War Museum	Construction	Uncategorised	45051.00
"Department for Culture, Media and Sport"	Imperial War Museum	ICT	Hardware	786341.00
"Department for Culture, Media and Sport"	Imperial War Museum	ICT	Maintenance & Support	50116.00
"Department for Culture, Media and Sport"	Imperial War Museum	ICT	Managed / Outsourced Services	28483.00
"Department for Culture, Media and Sport"	Imperial War Museum	ICT	Networking	307039.00
"Department for Culture, Media and Sport"	Imperial War Museum	ICT	Software	324656.00
"Department for Culture, Media and Sport"	Imperial War Museum	ICT	Systems Delivery	142917.00
"Department for Culture, Media and Sport"	Imperial War Museum	ICT	Telecoms	290462.00
"Department for Culture, Media and Sport"	Imperial War Museum	ICT	Uncategorised	79206.00
"Department for Culture, Media and Sport"	Imperial War Museum	Logistics	Transport	323476.00
"Department for Culture, Media and Sport"	Imperial War Museum	Logistics	Warehousing & Storage	50528.00
"Department for Culture, Media and Sport"	Imperial War Museum	Logistics	Uncategorised	9436.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Air	22407.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Booking Services	24948.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Coach	13088.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Events Organisation	39295.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Ferry	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Hotels	74499.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Rail	89235.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Taxi	39589.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Vehicle Hire	13702.00
"Department for Culture, Media and Sport"	Imperial War Museum	Travel	Uncategorised	126600.00
"Department for Culture, Media and Sport"	Imperial War Museum	Defence	Airborne Goods and Services	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Defence	Marine Goods and Services	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Defence	Military Systems	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Defence	Munitions	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Defence	Wheeled / Tracked Goods and Services	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Defence	Uncategorised	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Energy & Utilities	Electricity	210591.00
"Department for Culture, Media and Sport"	Imperial War Museum	Energy & Utilities	Gas	6077.00
"Department for Culture, Media and Sport"	Imperial War Museum	Energy & Utilities	Solid Fuels	188306.00
"Department for Culture, Media and Sport"	Imperial War Museum	Energy & Utilities	Water	70868.00
"Department for Culture, Media and Sport"	Imperial War Museum	Energy & Utilities	Uncategorised	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Fuels Lubricants & Gases	Fuels	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Fuels Lubricants & Gases	Gases	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Fuels Lubricants & Gases	Lubricants	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Fuels Lubricants & Gases	Uncategorised	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Vehicles	Fleet Management	21156.00
"Department for Culture, Media and Sport"	Imperial War Museum	Vehicles	Leasing	37204.00
"Department for Culture, Media and Sport"	Imperial War Museum	Vehicles	Purchase	3884.00
"Department for Culture, Media and Sport"	Imperial War Museum	Vehicles	Vehicle Disposal	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Vehicles	Vehicle Maintenance	92349.00
"Department for Culture, Media and Sport"	Imperial War Museum	Vehicles	Uncategorised	8899.00
"Department for Culture, Media and Sport"	Imperial War Museum	Operational Goods	Animal Related Goods	10706.00
"Department for Culture, Media and Sport"	Imperial War Museum	Operational Goods	Art & Exhibits	100841.00
"Department for Culture, Media and Sport"	Imperial War Museum	Operational Goods	Clothing	67848.00
"Department for Culture, Media and Sport"	Imperial War Museum	Operational Goods	Domestic Goods	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Operational Goods	Environmental Materials	33184.00
"Department for Culture, Media and Sport"	Imperial War Museum	Operational Goods	Learning & Development Materials	9648.00
"Department for Culture, Media and Sport"	Imperial War Museum	Operational Goods	Non-Catering Vending Machines	0.00
"Department for Culture, Media and Sport"	Imperial War Museum	Operational Goods	Uncategorised	27110.00
"Department for Culture, Media and Sport"	Imperial War Museum	Engineering Goods	Industrial	24072.00
"Department for Culture, Media and Sport"	Imperial War Museum	Engineering Goods	Non-Medical Chemicals	22054.00
"Department for Culture, Media and Sport"	Imperial War Museum	Engineering Goods	Tools	30457.00
"Department for Culture, Media and Sport"	Imperial War Museum	Engineering Goods	Uncategorised	509.00
"Department for Culture, Media and Sport"	Imperial War Museum	Waste Management	Waste Management Materials	3347.00
"Department for Culture, Media and Sport"	Imperial War Museum	Waste Management	Waste Management Services	101574.00
"Department for Culture, Media and Sport"	Imperial War Museum	Waste Management	Uncategorised	502.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Other	Clinical Support Services	6815.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Other	Environmental Services	713442.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Other	Financial Services	804563.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Other	Interpretation & Translation Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Other	Learning & Development Services	183064.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Other	Legal Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Other	Operational Services	107977.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Other	Technical Services	56825.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Other	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Temporary Staff	Admin & Clerical	780377.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Temporary Staff	Interim Managers	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Temporary Staff	Specialist Contractors	6567.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Temporary Staff	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	Finance Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	"Human Resource, Training & Education Consultancy"	172779.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	IT/IS Consultancy	247082.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	Legal Consultancy	364287.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	Marketing & Communications Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	Org & Change Management Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	PPM Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	Procurement Consultancy	3322.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	Property & Construction Consultancy	219056.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	Strategy Consultancy	101653.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	Technical Consultancy	29780.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Professional Services Consultancy	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Personnel Related	Events Admissions	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Personnel Related	Staff Childcare	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Personnel Related	Staff Health & Safety	50016.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Personnel Related	Staff Medical Care	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Personnel Related	Staff Relocation	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Personnel Related	Staff Subscriptions	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Personnel Related	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Adult Social Care	4200.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Child Social Care	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Educational Programmes	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Emergency Services	10918.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Entertainment Services	824112.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Legal Aid	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Operation of Custodial Facilities	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Transport Provision	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Welfare to Work	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	World Programmes	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Social Care	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Marketing & Media	Advertising	1468010.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Marketing & Media	Marketing	343125.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Marketing & Media	Promotion	85209.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Marketing & Media	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Facilities	Accommodation Services	23777.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Facilities	Building Management	87328.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Facilities	Catering	954489.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Facilities	Cleaning	1428033.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Facilities	Food	88444.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Facilities	Office Furniture	240209.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Facilities	Security	758478.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Facilities	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Clinical & Medical	Drugs & Biologicals	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Clinical & Medical	Medical & Surgical Consumables	7266.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Clinical & Medical	Medical & Surgical Equipment	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Clinical & Medical	Pathology	9365.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Clinical & Medical	Patients Appliances	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Clinical & Medical	Radiological & Diagnostic	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Clinical & Medical	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Office Solutions	Office Consumables	4111.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Office Solutions	Office Machines	356573.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Office Solutions	Office Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Office Solutions	Office Supplies	402036.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Office Solutions	Post & Courier	264119.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Office Solutions	Print	733385.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Office Solutions	Records Storage	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Office Solutions	Reprographics	4552.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Office Solutions	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Construction	Building Repair & Maintenance	1076341.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Construction	Construction Service Providers	277116.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Construction	Construction Supplies	486138.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Construction	Design & Build	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Construction	Main Contractors	2713585.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Construction	Prime Contractors	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Construction	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	ICT	Hardware	145167.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	ICT	Maintenance & Support	115340.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	ICT	Managed / Outsourced Services	218132.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	ICT	Networking	43887.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	ICT	Software	336684.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	ICT	Systems Delivery	593526.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	ICT	Telecoms	248218.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	ICT	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Logistics	Transport	151895.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Logistics	Warehousing & Storage	125182.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Logistics	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Air	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Booking Services	11641.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Coach	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Events Organisation	515365.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Ferry	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Hotels	38503.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Rail	95574.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Taxi	46824.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Vehicle Hire	1878.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Travel	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Defence	Airborne Goods and Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Defence	Marine Goods and Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Defence	Military Systems	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Defence	Munitions	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Defence	Wheeled / Tracked Goods and Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Defence	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Energy & Utilities	Electricity	484576.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Energy & Utilities	Gas	16946.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Energy & Utilities	Solid Fuels	14394.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Energy & Utilities	Water	183684.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Energy & Utilities	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Fuels Lubricants & Gases	Fuels	130019.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Fuels Lubricants & Gases	Gases	390307.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Fuels Lubricants & Gases	Lubricants	2962.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Fuels Lubricants & Gases	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Vehicles	Fleet Management	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Vehicles	Leasing	49269.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Vehicles	Purchase	87484.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Vehicles	Vehicle Disposal	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Vehicles	Vehicle Maintenance	118692.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Vehicles	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Operational Goods	Animal Related Goods	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Operational Goods	Art & Exhibits	20091.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Operational Goods	Clothing	90538.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Operational Goods	Domestic Goods	116606.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Operational Goods	Environmental Materials	153925.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Operational Goods	Learning & Development Materials	1096504.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Operational Goods	Non-Catering Vending Machines	392404.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Operational Goods	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Engineering Goods	Industrial	912260.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Engineering Goods	Non-Medical Chemicals	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Engineering Goods	Tools	79022.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Engineering Goods	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Waste Management	Waste Management Materials	1887.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Waste Management	Waste Management Services	42823.00
"Department for Culture, Media and Sport"	Museum of Science and Industry	Waste Management	Uncategorised	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Other	Clinical Support Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Other	Environmental Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Other	Financial Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Other	Interpretation & Translation Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Other	Learning & Development Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Other	Legal Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Other	Operational Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Other	Technical Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Other	Uncategorised	613894.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Temporary Staff	Admin & Clerical	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Temporary Staff	Interim Managers	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Temporary Staff	Specialist Contractors	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Temporary Staff	Uncategorised	33004.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	Finance Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	"Human Resource, Training & Education Consultancy"	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	IT/IS Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	Legal Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	Marketing & Communications Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	Org & Change Management Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	PPM Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	Procurement Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	Property & Construction Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	Strategy Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	Technical Consultancy	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Professional Services Consultancy	Uncategorised	294997.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Personnel Related	Events Admissions	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Personnel Related	Staff Childcare	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Personnel Related	Staff Health & Safety	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Personnel Related	Staff Medical Care	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Personnel Related	Staff Relocation	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Personnel Related	Staff Subscriptions	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Personnel Related	Uncategorised	45271.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Social Care	Adult Social Care	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Social Care	Child Social Care	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Social Care	Educational Programmes	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Social Care	Emergency Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Social Care	Entertainment Services	0.00
"Department for Culture, Media and Sport"	Museum of Science and Industry - Manchester	Social Care	Legal Aid	0.00
